Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,26897.839844,27105.410156,26620.500000,26635.750000,26635.750000,56200
2016-06-13,26468.269531,26752.589844,26262.269531,26625.910156,26625.910156,51100
2016-06-20,26497.109375,27060.980469,25911.330078,26397.710938,26397.710938,57900
2016-06-27,26347.810547,27243.359375,26262.720703,27144.910156,27144.910156,52700
2016-07-04,27314.439453,27385.660156,27034.140625,27126.900391,27126.900391,41400
2016-07-11,27358.230469,28048.699219,27358.230469,27836.500000,27836.500000,80500
2016-07-18,27920.660156,28013.500000,27637.980469,27803.240234,27803.240234,71500
2016-07-25,27753.960938,28240.199219,27736.509766,28051.859375,28051.859375,62900
2016-08-01,28083.080078,28284.849609,27627.970703,28078.349609,28078.349609,63900
2016-08-08,28181.919922,28289.960938,27697.330078,28152.400391,28152.400391,80800
2016-08-15,28190.039063,28214.169922,27942.650391,28077.000000,28077.000000,54300
2016-08-22,28088.070313,28154.210938,27696.990234,27782.250000,27782.250000,48900
2016-08-29,27827.259766,28581.580078,27698.710938,28532.109375,28532.109375,61600
2016-09-05,28631.269531,29077.279297,28631.269531,28797.250000,28797.250000,64700
2016-09-12,28481.089844,28778.640625,28251.310547,28599.029297,28599.029297,48200
2016-09-19,28626.599609,28871.919922,28462.330078,28668.220703,28668.220703,56900
2016-09-26,28630.919922,28630.919922,27716.779297,27865.960938,27865.960938,60300
2016-10-03,27997.289063,28477.650391,27919.890625,28061.140625,28061.140625,62300
2016-10-10,28144.279297,28216.640625,27548.179688,27673.599609,27673.599609,32800
2016-10-17,27776.140625,28212.500000,27488.300781,28077.179688,28077.179688,68300
2016-10-24,28156.589844,28256.650391,27665.599609,27941.509766,27941.509766,65100
2016-10-31,27966.179688,28029.800781,27193.609375,27274.150391,27274.150391,58200
2016-11-07,27552.269531,27743.460938,25902.449219,26818.820313,26818.820313,76300
2016-11-14,26809.609375,26809.609375,26106.779297,26150.240234,26150.240234,51200
2016-11-21,26246.699219,26343.949219,25717.929688,26316.339844,26316.339844,47000
2016-11-28,26303.519531,26769.320313,26182.929688,26230.660156,26230.660156,49200
2016-12-05,26253.480469,26803.759766,26125.349609,26747.179688,26747.179688,48900
2016-12-12,26725.310547,26737.859375,26407.580078,26489.560547,26489.560547,45700
2016-12-19,26505.660156,26505.660156,25872.380859,26040.699219,26040.699219,35900
2016-12-26,25992.410156,26678.599609,25753.740234,26626.460938,26626.460938,37900
2017-01-02,26711.150391,27009.609375,26447.060547,26759.230469,26759.230469,43500
2017-01-09,26860.810547,27459.750000,26701.179688,27238.060547,27238.060547,48900
2017-01-16,27238.349609,27422.669922,27009.810547,27034.500000,27034.500000,49800
2017-01-23,26990.929688,27980.390625,26963.580078,27882.460938,27882.460938,39900
2017-01-30,27866.800781,28299.919922,27590.099609,28240.519531,28240.519531,65500
2017-02-06,28340.390625,28487.279297,28149.080078,28334.250000,28334.250000,55600
2017-02-13,28450.419922,28726.259766,28102.230469,28468.750000,28468.750000,63600
2017-02-20,28481.910156,29065.310547,28419.269531,28892.970703,28892.970703,52000
2017-02-27,28910.500000,29145.619141,28716.210938,28832.449219,28832.449219,57400
2017-03-06,28859.210938,29098.169922,28815.019531,28946.230469,28946.230469,455500
