Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,7732.950195,7906.950195,7714.149902,7856.549805,7856.549805,722600
2015-11-23,7869.500000,7959.299805,7812.649902,7942.700195,7942.700195,627700
2015-11-30,7936.250000,7979.299805,7775.700195,7781.899902,7781.899902,759400
2015-12-07,7816.549805,7825.399902,7575.299805,7610.450195,7610.450195,721300
2015-12-14,7558.200195,7852.899902,7551.049805,7761.950195,7761.950195,804800
2015-12-21,7745.649902,7888.750000,7733.450195,7861.049805,7861.049805,463400
2015-12-28,7863.200195,7955.549805,7863.000000,7946.350098,7946.350098,493600
2016-01-04,7924.549805,7937.549805,7556.600098,7601.350098,7601.350098,773300
2016-01-11,7527.450195,7605.100098,7425.799805,7437.799805,7437.799805,966400
2016-01-18,7420.350098,7470.899902,7241.500000,7422.450195,7422.450195,1117400
2016-01-25,7468.750000,7575.649902,7402.799805,7563.549805,7563.549805,924000
2016-02-01,7589.500000,7600.450195,7350.299805,7489.100098,7489.100098,1095100
2016-02-08,7489.700195,7512.549805,6869.000000,6980.950195,6980.950195,1256700
2016-02-15,7057.350098,7226.850098,6960.649902,7210.750000,7210.750000,1307000
2016-02-22,7208.850098,7252.399902,6961.399902,7029.750000,7029.750000,1038300
2016-02-29,7050.450195,7505.899902,6825.799805,7485.350098,7485.350098,1647300
2016-03-07,7486.399902,7547.100098,7424.299805,7510.200195,7510.200195,925500
2016-03-14,7542.600098,7613.600098,7405.149902,7604.350098,7604.350098,1033000
2016-03-21,7619.200195,7728.200195,7617.700195,7716.500000,7716.500000,605300
2016-03-28,7741.000000,7777.600098,7582.250000,7713.049805,7713.049805,1255800
2016-04-04,7733.149902,7764.450195,7526.700195,7555.200195,7555.200195,902700
2016-04-11,7577.799805,7864.799805,7516.850098,7850.450195,7850.450195,563600
2016-04-18,7908.149902,7978.450195,7842.750000,7899.299805,7899.299805,796900
2016-04-25,7894.799805,7992.000000,7788.700195,7849.799805,7849.799805,1091700
2016-05-02,7822.700195,7890.250000,7678.350098,7733.450195,7733.450195,881200
2016-05-09,7755.250000,7916.049805,7753.549805,7814.899902,7814.899902,868900
2016-05-16,7831.200195,7940.100098,7735.750000,7749.700195,7749.700195,872400
2016-05-23,7813.950195,8164.200195,7715.799805,8156.649902,8156.649902,1020400
2016-05-30,8166.500000,8262.000000,8134.299805,8220.799805,8220.799805,1473500
2016-06-06,8228.750000,8294.950195,8162.850098,8170.049805,8170.049805,944900
2016-06-13,8102.250000,8213.200195,8063.899902,8170.200195,8170.200195,840800
2016-06-20,8115.750000,8285.599609,7927.049805,8088.600098,8088.600098,893400
2016-06-27,8039.350098,8356.750000,8039.350098,8328.349609,8328.349609,924800
2016-07-04,8376.750000,8398.450195,8287.549805,8323.200195,8323.200195,586600
2016-07-11,8413.349609,8594.799805,8407.049805,8541.400391,8541.400391,904500
2016-07-18,8564.049805,8587.099609,8476.700195,8541.200195,8541.200195,785700
2016-07-25,8519.950195,8674.700195,8517.200195,8638.500000,8638.500000,879400
2016-08-01,8654.299805,8711.299805,8518.150391,8683.150391,8683.150391,843400
2016-08-08,8712.849609,8728.349609,8540.049805,8592.150391,8592.150391,735500
2016-08-15,8670.250000,8696.599609,8600.450195,8666.900391,8666.900391,755100
2016-08-22,8667.000000,8684.849609,8547.549805,8572.549805,8572.549805,850000
2016-08-29,8583.750000,8824.099609,8543.750000,8809.650391,8809.650391,1072500
2016-09-05,8852.700195,8968.700195,8848.450195,8866.700195,8866.700195,878800
2016-09-12,8732.950195,8847.650391,8688.900391,8779.849609,8779.849609,780000
2016-09-19,8788.450195,8893.349609,8757.299805,8831.549805,8831.549805,775700
2016-09-26,8807.900391,8809.549805,8555.200195,8611.150391,8611.150391,1035500
2016-10-03,8666.150391,8806.950195,8635.000000,8697.599609,8697.599609,792800
2016-10-10,8735.349609,8745.799805,8541.349609,8583.400391,8583.400391,483500
2016-10-17,8612.950195,8727.000000,8506.150391,8693.049805,8693.049805,904400
2016-10-24,8709.849609,8736.950195,8550.250000,8638.000000,8638.000000,984500
2016-10-31,8653.150391,8669.599609,8400.250000,8433.750000,8433.750000,715600
2016-11-07,8535.750000,8598.450195,8002.250000,8296.299805,8296.299805,1212800
2016-11-14,8284.849609,8288.549805,8048.299805,8074.100098,8074.100098,981200
2016-11-21,8102.100098,8122.250000,7916.399902,8114.299805,8114.299805,1048400
2016-11-28,8080.649902,8250.799805,8066.500000,8086.799805,8086.799805,956600
2016-12-05,8088.750000,8274.950195,8056.850098,8261.750000,8261.750000,703800
2016-12-12,8230.650391,8230.650391,8121.950195,8139.450195,8139.450195,821500
2016-12-19,8126.000000,8132.500000,7942.049805,7985.750000,7985.750000,605800
2016-12-26,7965.100098,8197.000000,7893.799805,8185.799805,8185.799805,658500
2017-01-02,8210.099609,8306.849609,8133.799805,8243.799805,8243.799805,676500
2017-01-09,8259.349609,8461.049805,8227.750000,8400.349609,8400.349609,786400
2017-01-16,8390.950195,8460.299805,8340.950195,8349.349609,8349.349609,778400
2017-01-23,8329.599609,8672.700195,8327.200195,8641.250000,8641.250000,942100
2017-01-30,8635.549805,8757.599609,8537.500000,8740.950195,8740.950195,1627900
2017-02-06,8785.450195,8822.099609,8715.000000,8793.549805,8793.549805,1052800
2017-02-13,8819.799805,8896.450195,8712.849609,8821.700195,8821.700195,1092200
2017-02-20,8818.549805,8982.150391,8809.799805,8939.500000,8939.500000,967800
2017-02-27,8943.700195,8992.500000,8860.099609,8897.549805,8897.549805,1110800
2017-03-06,8915.099609,8977.849609,8891.950195,8934.549805,8934.549805,850200
2017-03-13,9091.650391,9218.400391,9060.500000,9160.049805,9160.049805,1006200
2017-03-20,9166.950195,9167.599609,9019.299805,9108.000000,9108.000000,1207600
2017-03-27,9093.450195,9191.700195,9024.650391,9173.750000,9173.750000,1143700
2017-04-03,9220.599609,9273.900391,9188.099609,9198.299805,9198.299805,700000
2017-04-10,9225.599609,9246.400391,9144.950195,9150.799805,9150.799805,664200
2017-04-17,9144.750000,9217.900391,9075.150391,9119.400391,9119.400391,673400
2017-04-24,9135.349609,9367.150391,9130.549805,9304.049805,9304.049805,893700
2017-05-01,9339.849609,9377.099609,9269.900391,9285.299805,9285.299805,814700
2017-05-08,9311.450195,9450.650391,9297.950195,9400.900391,9400.900391,784700
2017-05-15,9433.549805,9532.599609,9390.750000,9427.900391,9427.900391,958200
2017-05-22,9480.250000,9604.900391,9341.650391,9595.099609,9595.099609,1141000
2017-05-29,9560.049805,9673.500000,9547.700195,9653.500000,9653.500000,1181500
2017-06-05,9656.299805,9709.299805,9608.150391,9668.250000,9668.250000,748700
2017-06-12,9646.700195,9654.150391,9560.799805,9588.049805,9588.049805,837200
2017-06-19,9626.400391,9698.849609,9565.299805,9574.950195,9574.950195,819200
2017-06-26,9594.049805,9615.400391,9448.750000,9520.900391,9520.900391,814600
2017-07-03,9587.950195,9700.700195,9543.549805,9665.799805,9665.799805,747800
2017-07-10,9719.299805,9913.299805,9646.450195,9886.349609,9886.349609,703600
2017-07-17,9908.150391,9928.200195,9792.049805,9915.250000,9915.250000,1006200
2017-07-24,9936.799805,10114.849609,9919.599609,10014.500000,10014.500000,1037100
